temperature_c,humidity_pct,light_norm,label
21.15,48.14,0.8595,normal
44.0,89.95,0.1929,critical
36.79,79.97,0.5138,warning
51.51,84.79,0.2597,critical
42.19,89.34,0.0174,critical
19.16,48.66,0.8715,normal
22.96,40.5,0.7329,normal
21.63,33.09,0.8029,normal
35.31,76.54,0.3386,warning
22.87,69.68,0.5341,normal
36.2,71.42,0.1945,warning
32.66,66.46,0.389,warning
22.35,50.81,0.7755,normal
44.67,85.97,0.1449,critical
36.45,81.0,0.2268,warning
35.93,70.85,0.2828,warning
21.03,64.91,0.8407,normal
16.01,59.08,0.6636,normal
18.51,59.26,0.515,normal
33.04,79.31,0.4527,warning
21.3,30.43,0.7785,normal
21.94,39.12,0.8046,normal
23.46,55.91,0.6104,normal
43.33,95.37,0.2788,critical
21.36,44.3,0.977,normal
23.75,50.15,0.4445,normal
25.82,45.2,0.3917,normal
34.22,77.01,0.1189,warning
13.37,69.17,0.7491,normal
15.75,47.92,0.7384,normal
28.98,43.8,0.7662,normal
43.51,91.26,0.2628,critical
23.09,42.26,0.3718,normal
31.07,71.48,0.2158,warning
22.53,52.37,0.5055,normal
35.76,75.01,0.5984,warning
34.52,70.41,0.2976,warning
17.86,43.78,0.829,normal
47.58,90.91,0.1138,critical
26.27,30.53,0.5763,normal
25.13,48.16,0.7441,normal
49.15,100.0,0.23,critical
21.71,60.2,0.4192,normal
25.0,53.67,0.9656,normal
25.27,26.31,0.9195,normal
24.02,37.94,0.8012,normal
37.77,73.64,0.485,warning
22.48,24.53,0.6483,normal
16.84,53.25,0.3678,normal
23.11,52.5,0.7619,normal
28.01,49.45,0.4995,normal
18.0,72.85,0.6857,warning
29.54,51.15,0.5114,normal
37.74,79.13,0.5105,warning
30.22,60.64,0.6598,warning
16.86,66.87,0.5249,normal
38.3,72.53,0.555,warning
19.33,50.04,0.828,normal
35.42,72.56,0.2014,warning
22.01,63.88,0.4514,normal
29.05,63.97,0.7893,normal
19.14,38.2,0.8468,normal
33.15,74.62,0.3411,warning
18.62,41.99,0.9905,normal
38.82,68.92,0.3454,warning
54.86,88.91,0.1121,critical
22.91,62.91,0.3852,normal
35.04,69.57,0.3704,warning
31.0,74.92,0.4432,warning
26.99,74.39,0.8039,warning
40.08,91.9,0.0047,critical
34.97,81.4,0.2627,warning
19.64,44.95,0.7066,normal
34.27,80.63,0.4065,warning
31.65,79.39,0.2053,warning
20.82,40.81,0.9053,normal
21.53,56.19,0.4352,normal
32.08,73.35,0.1499,warning
45.63,93.64,0.1729,critical
44.35,91.91,0.3837,critical
26.27,64.61,0.4648,normal
32.83,90.04,0.3398,critical
29.24,74.15,0.4927,warning
20.41,62.22,0.7191,normal
30.31,79.56,0.13,warning
47.78,84.76,0.2519,critical
18.57,52.8,0.5846,normal
37.39,85.71,0.1031,critical
24.02,50.63,0.9138,normal
35.94,74.24,0.3879,warning
20.53,45.01,0.8572,normal
42.33,95.91,0.195,critical
33.47,64.54,0.2905,warning
20.71,63.76,0.4442,normal
36.7,82.89,0.2687,warning
18.46,40.44,0.9018,normal
48.14,91.29,0.0913,critical
20.65,57.58,0.5239,normal
20.04,43.73,0.6392,normal
35.86,71.39,0.3935,warning
26.04,47.78,0.4695,normal
38.79,76.17,0.431,warning
38.34,72.16,0.14,warning
46.93,92.02,0.0255,critical
36.74,70.65,0.1132,warning
29.93,80.13,0.1416,warning
33.86,77.9,0.4274,warning
24.59,44.33,0.5108,normal
33.1,81.86,0.1656,warning
34.38,73.98,0.4318,warning
48.27,86.59,0.1905,critical
26.93,48.05,0.5271,normal
12.06,58.98,0.8035,normal
24.39,62.1,0.7602,normal
31.46,70.14,0.3617,warning
43.8,86.69,0.1389,critical
14.99,45.54,0.6372,normal
19.94,55.79,0.5473,normal
29.35,50.01,0.9012,normal
19.5,59.35,0.3554,normal
30.56,38.6,0.6601,warning
26.24,50.61,0.5404,normal
34.04,75.6,0.2868,warning
17.64,56.75,0.6066,normal
49.39,96.99,0.1559,critical
19.74,55.41,0.6245,normal
22.45,66.97,0.9415,normal
24.15,35.79,0.535,normal
21.68,31.83,0.6184,normal
47.54,87.47,0.1158,critical
18.38,39.49,0.5269,normal
44.15,87.75,0.0078,critical
26.71,53.8,0.4709,normal
48.54,92.37,0.2861,critical
21.58,42.79,0.4479,normal
31.26,75.18,0.2558,warning
37.23,58.24,0.3318,warning
46.92,85.67,0.3374,critical
23.3,48.98,0.8542,normal
26.06,54.89,0.4749,normal
37.01,67.26,0.5141,warning
37.7,80.93,0.2245,warning
22.58,39.28,0.8295,normal
26.35,52.32,0.8511,normal
34.75,88.12,0.1891,critical
44.56,86.07,0.1292,critical
21.19,47.87,0.9593,normal
31.73,74.5,0.4193,warning
35.99,84.91,0.5318,warning
22.39,54.8,0.7614,normal
20.91,55.4,0.5295,normal
51.16,96.02,0.0036,critical
52.76,92.28,0.1901,critical
31.62,72.26,0.1447,warning
22.96,53.66,0.7521,normal
34.36,35.66,0.7563,warning
27.35,55.28,0.8059,normal
46.53,87.49,0.0931,critical
39.25,73.99,0.4783,warning
23.47,39.9,0.4754,normal
20.6,41.26,0.4376,normal
49.71,86.57,0.175,critical
20.29,64.85,0.4734,normal
23.43,58.52,0.8261,normal
33.1,84.31,0.5572,warning
20.58,48.73,0.4508,normal
21.11,57.5,0.5886,normal
27.7,50.06,0.5964,normal
34.23,75.89,0.5284,warning
46.48,86.36,0.2884,critical
31.97,69.78,0.2937,warning
17.36,48.23,0.7085,normal
19.32,44.25,0.7666,normal
25.74,57.79,0.3933,normal
23.08,45.46,0.9178,normal
23.37,61.01,0.4142,normal
28.85,70.9,0.429,warning
39.86,88.74,0.1024,critical
42.36,95.08,0.0283,critical
35.86,73.55,0.3457,warning
23.26,47.39,0.8707,normal
26.74,54.76,0.9599,normal
31.51,77.42,0.4542,warning
35.05,71.48,0.1203,warning
49.08,91.82,0.3778,critical
35.31,74.45,0.4626,warning
19.46,48.72,0.692,normal
22.04,64.01,0.4663,normal
33.98,69.82,0.1528,warning
19.57,42.8,0.6482,normal
17.79,32.16,0.4584,normal
35.29,79.59,0.2688,warning
29.84,80.12,0.638,warning
19.91,56.96,0.9945,normal
44.26,94.3,0.3057,critical
16.17,56.8,0.7455,normal
43.44,88.66,0.3063,critical
36.05,73.29,0.5808,warning
18.19,53.26,0.8221,normal
38.01,74.28,0.3588,warning
36.54,74.82,0.2502,warning
35.04,84.69,0.1109,warning
24.67,36.24,0.5294,normal
17.19,45.78,0.9518,normal
46.63,91.15,0.1423,critical
24.47,57.31,0.7284,normal
34.58,84.08,0.146,warning
14.77,63.17,0.8273,normal
20.83,32.5,0.4624,normal
24.8,36.4,0.7246,normal
26.5,42.63,0.5453,normal
33.53,68.5,0.1392,warning
38.84,77.95,0.274,warning
35.28,70.26,0.5339,warning
23.96,44.77,0.7743,normal
21.51,49.09,0.8553,normal
32.11,77.87,0.1206,warning
43.79,89.29,0.201,critical
34.18,76.58,0.4658,warning
18.6,56.77,0.7368,normal
43.17,89.89,0.1159,critical
32.74,76.64,0.1413,warning
33.14,74.31,0.2996,warning
37.05,78.01,0.4869,warning
23.47,53.93,0.7135,normal
16.2,51.11,0.4775,normal
17.13,39.14,0.5101,normal
28.24,57.54,0.5602,normal
47.54,89.01,0.2687,critical
31.54,77.14,0.2604,warning
21.26,48.77,0.5481,normal
27.52,48.93,0.9936,normal
43.9,91.0,0.018,critical
47.11,86.96,0.1495,critical
34.29,65.22,0.1562,warning
31.19,58.2,0.9524,warning
51.03,83.2,0.0055,critical
45.33,87.72,0.18,critical
24.71,50.98,0.6997,normal
23.39,61.66,0.5181,normal
15.56,51.72,0.4419,normal
21.76,48.17,0.729,normal
21.38,47.45,0.4607,normal
32.88,83.62,0.409,warning
38.13,77.39,0.1042,warning
32.17,77.56,0.526,warning
41.72,81.56,0.0076,critical
25.9,39.29,0.5003,normal
37.98,99.34,0.0398,critical
42.79,99.2,0.2126,critical
35.38,80.43,0.329,warning
46.75,89.53,0.099,critical
42.46,89.17,0.1574,critical
35.53,78.85,0.276,warning
32.44,72.4,0.5891,warning
28.52,74.93,0.4129,warning
28.08,35.48,0.8797,normal
27.0,52.34,0.5321,normal
37.71,83.69,0.4285,warning
49.34,92.57,0.3842,critical
30.8,70.45,0.2137,warning
34.1,77.87,0.5853,warning
36.26,72.6,0.3711,warning
22.59,55.26,0.7019,normal
24.47,31.06,0.5508,normal
20.64,38.3,0.4379,normal
42.18,74.63,0.1726,critical
40.11,70.44,0.2587,critical
36.88,85.71,0.0474,critical
31.46,84.37,0.4635,warning
22.8,29.5,0.6191,normal
18.33,55.72,0.9569,normal
39.49,67.82,0.2369,warning
22.35,45.33,0.4701,normal
34.32,68.14,0.2334,warning
32.02,73.52,0.2161,warning
44.55,85.64,0.2753,critical
17.33,51.73,0.7431,normal
21.08,40.6,0.9039,normal
32.37,75.15,0.1966,warning
28.66,53.42,0.3598,normal
33.61,80.12,0.4712,warning
28.72,48.76,0.393,normal
32.45,37.12,0.9136,warning
42.46,90.28,0.183,critical
22.08,60.19,0.3772,normal
33.73,70.13,0.2564,warning
16.96,39.38,0.736,normal
27.95,73.39,0.4935,warning
17.65,48.58,0.8876,normal
43.58,79.36,0.3594,critical
30.12,79.97,0.3789,warning
16.38,48.57,0.382,normal
20.97,59.74,0.548,normal
24.09,40.17,0.6246,normal
33.24,73.91,0.3585,warning
37.54,82.33,0.3258,warning
21.66,45.17,0.8562,normal
51.71,87.06,0.0541,critical
31.19,77.83,0.1894,warning
16.67,41.51,0.4813,normal
31.82,76.07,0.4459,warning
27.96,40.17,0.8169,normal
23.41,53.45,0.6421,normal
42.83,94.62,0.1536,critical
23.22,38.42,0.9673,normal
31.88,78.38,0.4841,warning
26.4,43.24,0.7787,normal
26.74,66.31,0.4663,normal
45.01,84.93,0.1238,critical
22.51,39.2,0.7572,normal
23.57,53.58,0.4819,normal
32.35,72.34,0.3293,warning
25.08,40.12,0.3537,normal
48.18,87.52,0.2355,critical
17.94,51.56,0.4016,normal
19.58,45.59,0.7058,normal
18.27,41.27,0.8864,normal
35.62,75.86,0.4266,warning
29.64,54.48,0.7835,normal
47.77,86.42,0.3682,critical
36.97,76.57,0.1891,warning
19.42,37.87,0.7995,normal
16.18,40.11,0.4653,normal
16.94,53.64,0.9555,normal
24.81,54.66,0.5896,normal
20.92,52.58,0.6278,normal
31.63,73.7,0.1673,warning
33.18,71.24,0.3635,warning
15.9,47.62,0.7478,normal
27.0,60.26,0.7588,normal
26.58,49.08,0.7976,normal
32.72,38.18,0.5367,warning
31.97,72.24,0.3627,warning
25.74,49.71,0.4343,normal
41.53,87.68,0.2527,critical
19.48,50.3,0.7461,normal
43.13,76.55,0.0006,critical
27.54,52.1,0.4267,normal
37.11,67.68,0.5995,warning
18.91,54.63,0.7143,normal
21.61,48.85,0.4808,normal
20.6,67.32,0.5501,normal
18.46,49.63,0.354,normal
20.57,41.59,0.8209,normal
33.46,74.19,0.1878,warning
20.24,57.94,0.7871,normal
28.18,41.02,0.7697,normal
29.81,75.81,0.546,warning
31.36,73.96,0.492,warning
16.35,58.48,0.8928,normal
20.04,65.3,0.5551,normal
32.0,74.24,0.4427,warning
35.92,65.04,0.2768,warning
25.19,48.46,0.3703,normal
38.19,74.28,0.5212,warning
42.41,87.86,0.2381,critical
26.4,37.45,0.8084,normal
45.6,91.16,0.1655,critical
19.05,50.14,0.6437,normal
24.66,47.87,0.5465,normal
51.34,95.68,0.3111,critical
36.78,72.2,0.1125,warning
41.32,90.64,0.0761,critical
27.76,42.5,0.6904,normal
22.36,44.51,0.9167,normal
26.13,28.8,0.7899,normal
26.32,61.89,0.6486,normal
20.9,38.16,0.3527,normal
27.55,43.71,0.7363,normal
49.83,92.92,0.0185,critical
16.18,48.11,0.5531,normal
18.94,45.95,0.9299,normal
44.87,92.95,0.1107,critical
32.64,79.89,0.1588,warning
47.89,93.22,0.0061,critical
31.42,70.81,0.2033,warning
32.45,78.54,0.1708,warning
45.08,86.09,0.0979,critical
26.97,55.97,0.5702,normal
32.51,75.92,0.3354,warning
21.15,45.78,0.385,normal
19.75,52.8,0.7375,normal
29.24,69.77,0.4497,normal
19.42,44.22,0.8813,normal
20.62,35.49,0.6968,normal
38.97,73.62,0.3328,warning
26.95,63.49,0.9478,normal
41.68,91.09,0.2738,critical
20.89,39.16,0.5006,normal
47.3,99.8,0.2468,critical
25.41,44.81,0.8047,normal
31.31,67.41,0.5412,warning
21.05,50.72,0.659,normal
19.35,58.94,0.461,normal
34.46,68.23,0.1637,warning
27.89,61.12,0.8679,normal
19.34,62.87,0.8651,normal
18.04,47.93,0.6187,normal
31.26,70.66,0.5869,warning
19.28,56.09,0.879,normal
16.11,40.52,0.633,normal
34.87,68.9,0.2181,warning
21.16,46.56,0.9551,normal
17.87,44.81,0.7349,normal
17.05,52.94,0.8843,normal
50.47,100.0,0.0278,critical
38.27,80.79,0.4857,warning
42.62,94.03,0.2641,critical
38.66,79.96,0.5436,warning
26.67,41.88,0.3501,normal
35.03,77.26,0.3656,warning
17.95,58.37,0.4772,normal
20.54,42.07,0.7207,normal
24.91,45.58,0.9632,normal
26.17,80.67,0.2721,warning
22.43,50.68,0.9912,normal
32.71,76.48,0.2471,warning
18.56,59.24,0.3845,normal
32.39,66.12,0.2796,warning
51.16,82.33,0.0941,critical
20.82,40.43,0.5568,normal
43.09,93.29,0.218,critical
19.63,40.32,0.4723,normal
15.2,65.08,0.896,normal
29.82,78.5,0.7855,warning
23.03,52.88,0.3602,normal
45.17,84.32,0.1747,critical
23.68,49.74,0.7675,normal
18.19,55.57,0.8628,normal
42.66,86.79,0.0719,critical
30.2,74.63,0.325,warning
32.82,77.53,0.4023,warning
15.16,40.89,0.5039,normal
30.91,74.94,0.3731,warning
14.58,70.53,0.7193,warning
21.45,45.29,0.663,normal
21.19,44.85,0.8253,normal
33.41,47.05,0.8563,warning
20.42,50.88,0.9284,normal
49.84,92.98,0.2967,critical
23.56,49.01,0.7619,normal
34.77,70.87,0.1264,warning
18.15,64.45,0.6548,normal
41.51,89.55,0.2935,critical
27.29,81.05,0.4991,warning
33.8,76.3,0.5614,warning
33.98,66.94,0.3819,warning
50.2,92.13,0.0676,critical
33.55,59.71,0.8758,warning
19.66,44.21,0.4036,normal
14.19,49.31,0.5306,normal
24.19,56.01,0.9076,normal
23.94,50.43,0.4635,normal
20.08,46.88,0.6403,normal
34.83,71.36,0.4504,warning
14.86,51.7,0.9103,normal
33.31,76.75,0.1725,warning
48.12,88.83,0.1984,critical
28.86,49.31,0.5047,normal
16.7,55.23,0.4871,normal
21.64,40.84,0.7675,normal
46.07,87.52,0.067,critical
31.96,77.52,0.4731,warning
34.06,68.83,0.2899,warning
20.75,39.09,0.4443,normal
22.42,48.88,0.9527,normal
29.71,77.38,0.5809,warning
45.53,88.68,0.3671,critical
29.12,65.49,0.3159,normal
39.16,70.13,0.2675,warning
21.81,54.52,0.7753,normal
16.66,60.88,0.8369,normal
21.48,36.73,0.4767,normal
18.8,63.06,0.4669,normal
40.29,87.8,0.3327,critical
23.81,50.34,0.4175,normal
43.35,91.17,0.1133,critical
46.31,91.03,0.0368,critical
27.42,44.49,0.893,normal
38.07,72.82,0.454,warning
27.75,63.49,0.4344,normal
17.24,32.15,0.7179,normal
30.33,45.64,0.8022,warning
21.91,61.21,0.9585,normal
16.18,32.68,0.5296,normal
28.18,79.79,0.4849,warning
20.94,55.32,0.3981,normal
22.67,40.32,0.5662,normal
40.96,79.6,0.2323,critical
30.75,77.12,0.5643,warning
20.07,45.99,0.6698,normal
37.18,81.72,0.2092,warning
29.89,66.35,0.4577,normal
23.24,52.35,0.7214,normal
33.99,80.43,0.5483,warning
36.55,80.75,0.5664,warning
20.39,43.23,0.805,normal
37.24,71.31,0.3577,warning
26.32,45.72,0.6334,normal
36.91,67.76,0.4927,warning
33.76,74.9,0.5771,warning
47.9,84.78,0.2269,critical
36.6,73.13,0.4409,warning
41.41,94.13,0.3835,critical
26.17,56.67,0.9746,normal
36.91,77.69,0.4833,warning
44.51,87.5,0.0157,critical
20.06,54.33,0.8023,normal
37.37,70.73,0.2796,warning
26.88,57.19,0.828,normal
23.67,55.05,0.8178,normal
18.13,43.61,0.3909,normal
31.51,73.92,0.367,warning
35.65,70.29,0.5979,warning
23.32,50.78,0.8621,normal
23.93,51.33,0.8746,normal
43.8,85.19,0.2712,critical
23.6,45.97,0.7266,normal
34.73,74.38,0.1708,warning
19.43,40.71,0.9467,normal
51.96,92.21,0.0522,critical
22.6,52.83,0.5498,normal
23.2,39.38,0.4609,normal
29.35,70.01,0.1532,warning
28.63,75.16,0.2103,warning
23.41,40.07,0.8775,normal
38.49,74.16,0.2621,warning
37.88,74.01,0.1687,warning
36.75,67.4,0.4821,warning
18.98,45.01,0.4285,normal
35.96,79.02,0.4481,warning
17.94,46.46,0.9517,normal
23.78,51.16,0.9008,normal
30.04,69.37,0.1078,warning
21.55,50.09,0.4666,normal
26.92,57.72,0.9265,normal
29.29,79.56,0.4863,warning
33.28,71.82,0.4199,warning
17.92,48.51,0.9598,normal
21.15,48.23,0.467,normal
12.2,50.02,0.7577,normal
46.75,85.47,0.0018,critical
22.18,54.98,0.6946,normal
25.13,55.36,0.8447,normal
31.95,74.13,0.4852,warning
20.26,43.23,0.4759,normal
47.76,82.72,0.3874,critical
19.54,51.0,0.7856,normal
27.55,53.85,0.5353,normal
18.69,53.6,0.8733,normal
22.06,47.03,0.8313,normal
24.22,47.17,0.8606,normal
32.52,75.23,0.5475,warning
33.28,68.41,0.263,warning
23.9,64.26,0.5617,normal
34.48,70.63,0.149,warning
33.53,64.93,0.2878,warning
22.83,61.09,0.6649,normal
35.3,73.22,0.5639,warning
42.2,91.38,0.0546,critical
20.93,36.11,0.9841,normal
34.46,77.49,0.4461,warning
48.02,90.99,0.3407,critical
43.63,90.79,0.1374,critical
26.11,41.09,0.8632,normal
31.33,69.76,0.185,warning
29.72,46.33,0.4062,normal
48.89,85.46,0.3983,critical
39.61,84.82,0.1117,warning
33.39,66.9,0.2233,warning
19.54,61.64,0.9297,normal
20.1,46.9,0.7229,normal
42.4,75.45,0.12,critical
15.27,53.14,0.3719,normal
17.52,47.78,0.8687,normal
23.9,40.11,0.5063,normal
33.56,74.72,0.4659,warning
24.03,48.35,0.5423,normal
20.95,46.51,0.6619,normal
32.42,82.34,0.529,warning
21.98,47.78,0.6456,normal
47.11,79.91,0.1621,critical
22.95,40.68,0.6518,normal
16.69,35.25,0.396,normal
48.82,87.21,0.0131,critical
31.87,76.78,0.573,warning
15.14,45.31,0.862,normal
39.4,80.02,0.4679,warning
40.81,79.07,0.4373,critical
47.48,88.43,0.1462,critical
43.2,86.75,0.0701,critical
44.61,89.33,0.2837,critical
49.17,100.0,0.0955,critical
25.45,57.47,0.9604,normal
13.14,37.8,0.4864,normal
45.91,86.43,0.1411,critical
33.51,82.51,0.2386,warning
25.39,53.57,0.666,normal
19.98,49.15,0.8114,normal
43.85,84.45,0.1169,critical
16.8,37.64,0.9645,normal
25.43,27.82,0.3927,normal
25.44,43.05,0.4021,normal
24.64,45.07,0.9718,normal
48.48,92.55,0.2788,critical
13.84,50.47,0.6884,normal
43.68,87.01,0.3878,critical
43.94,89.32,0.1387,critical
29.95,77.48,0.2458,warning
39.61,78.9,0.2162,warning
27.44,45.34,0.6176,normal
31.62,81.02,0.2632,warning
40.85,85.72,0.3368,critical
18.79,52.87,0.4358,normal
34.45,72.02,0.23,warning
11.42,52.63,0.8503,normal
49.57,91.37,0.1824,critical
50.56,99.82,0.2847,critical
32.23,88.12,0.5197,critical
43.92,83.06,0.0614,critical
22.09,52.89,0.5558,normal
24.18,55.54,0.4699,normal
21.02,48.98,0.556,normal
43.85,94.01,0.2159,critical
47.77,93.61,0.3682,critical
18.12,56.64,0.4445,normal
42.61,91.14,0.0017,critical
21.21,22.82,0.5653,normal
33.06,69.55,0.2449,warning
41.91,70.16,0.3869,critical
36.33,80.15,0.5534,warning
16.29,55.44,0.8256,normal
35.33,73.39,0.3755,warning
20.55,59.47,0.8966,normal
32.75,75.73,0.1275,warning
31.49,69.87,0.2111,warning
24.97,46.83,0.3647,normal
30.84,73.7,0.4358,warning
26.09,56.25,0.4764,normal
19.75,62.41,0.9632,normal
25.18,44.85,0.4462,normal
24.33,42.37,0.5923,normal
21.2,59.08,0.9854,normal
34.9,73.48,0.4639,warning
34.23,95.38,0.3215,critical
20.26,67.57,0.9807,normal
14.44,59.81,0.4407,normal
20.55,47.79,0.4851,normal
28.04,76.6,0.5933,warning
40.97,80.12,0.4781,critical
25.49,55.41,0.9444,normal
17.62,56.52,0.8117,normal
34.05,72.29,0.193,warning
18.26,58.59,0.3775,normal
25.5,33.17,0.5475,normal
41.84,87.97,0.0107,critical
25.12,50.12,0.9714,normal
35.71,70.12,0.4269,warning
36.44,71.76,0.3459,warning
20.86,43.07,0.4276,normal
19.81,81.7,0.3934,warning
33.89,68.41,0.3828,warning
25.81,39.65,0.6594,normal
21.31,45.26,0.6831,normal
39.12,85.6,0.0651,critical
25.28,53.15,0.9209,normal
23.57,54.49,0.5272,normal
14.28,60.68,0.5814,normal
44.78,95.95,0.3745,critical
39.2,89.26,0.0733,critical
27.54,59.35,0.7034,normal
27.21,36.55,0.7952,normal
32.56,82.22,0.4442,warning
50.34,93.73,0.3293,critical
26.82,50.98,0.5925,normal
31.28,75.43,0.5554,warning
23.85,53.48,0.4937,normal
49.22,99.87,0.2454,critical
24.39,39.35,0.6959,normal
39.62,87.35,0.0456,critical
20.45,50.98,0.8822,normal
26.05,44.71,0.5525,normal
17.21,64.01,0.9283,normal
16.45,40.22,0.5723,normal
21.76,47.66,0.8795,normal
23.36,69.42,0.4425,normal
22.3,55.12,0.4346,normal
38.05,78.63,0.492,warning
38.57,79.05,0.4787,warning
23.84,51.26,0.8655,normal
32.96,74.85,0.1595,warning
33.98,76.85,0.4338,warning
34.15,66.27,0.56,warning
24.38,70.68,0.4701,warning
33.22,76.75,0.5229,warning
40.83,70.64,0.2739,critical
35.88,79.99,0.4643,warning
46.27,96.49,0.0396,critical
21.41,49.21,0.491,normal
34.88,78.8,0.5508,warning
26.13,71.88,0.1493,warning
23.06,61.54,0.81,normal
18.43,59.93,0.6358,normal
24.44,48.34,0.5806,normal
32.48,77.38,0.2138,warning
40.58,84.41,0.1618,critical
23.66,53.45,0.8455,normal
20.57,37.75,0.3764,normal
21.06,54.37,0.5343,normal
31.9,72.45,0.5881,warning
17.23,54.38,0.5389,normal
35.19,72.45,0.1348,warning
24.46,40.45,0.7914,normal
52.28,100.0,0.1967,critical
36.54,78.29,0.4293,warning
23.92,52.83,0.6104,normal
20.44,47.5,0.9514,normal
35.09,74.75,0.5876,warning
19.16,61.41,0.9939,normal
27.47,63.3,0.8214,normal
33.15,82.78,0.391,warning
44.98,98.73,0.2575,critical
31.24,78.33,0.4016,warning
42.2,93.25,0.1116,critical
46.22,87.62,0.1003,critical
29.78,75.12,0.1673,warning
34.8,75.97,0.1341,warning
17.33,25.93,0.5987,normal
21.01,44.8,0.7543,normal
47.31,91.14,0.3006,critical
46.78,81.18,0.0808,critical
19.56,40.12,0.5201,normal
41.6,98.24,0.2186,critical
34.73,74.63,0.3152,warning
36.54,72.49,0.2573,warning
31.63,78.89,0.1164,warning
14.56,43.08,0.547,normal
20.73,38.81,0.4374,normal
21.01,38.71,0.4211,normal
19.33,36.91,0.7955,normal
30.93,72.51,0.5272,warning
18.02,49.58,0.6715,normal
51.45,88.74,0.1411,critical
25.48,48.78,0.3683,normal
29.31,55.33,0.5768,normal
21.95,47.67,0.9294,normal
21.02,53.8,0.5743,normal
32.26,78.63,0.4306,warning
22.09,64.45,0.7351,normal
23.25,48.04,0.5482,normal
33.69,75.85,0.2631,warning
38.26,92.43,0.2272,critical
24.56,45.43,0.8024,normal
12.07,34.69,0.5955,normal
30.98,79.15,0.5042,warning
50.85,94.41,0.1344,critical
15.19,49.7,0.5707,normal
19.15,43.72,0.6334,normal
28.18,75.19,0.4936,warning
36.0,69.78,0.2437,warning
34.77,59.83,0.6113,warning
23.0,66.29,0.4098,normal
23.0,46.3,0.5689,normal
28.56,57.37,0.6589,normal
47.78,98.63,0.2606,critical
19.69,67.11,0.6314,normal
19.41,48.34,0.6115,normal
31.67,71.12,0.4817,warning
22.33,51.76,0.8072,normal
25.41,40.04,0.4884,normal
